Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:SXL,"Southern Cross Media Group Limited (ASX:SXL)",https://www.listcorp.com/asx/sxl/southern-cross-media-group-limited,"	359331000",1.35,-0.01,-0.74,"Communication Services"
ASX:AGI,"Ainsworth Game Technology (ASX:AGI)",https://www.listcorp.com/asx/agi/ainsworth-game,"	357002000",1.06,0.00,0,"Consumer Discretionary"
ASX:AMH,"AMCIL Limited (ASX:AMH)",https://www.listcorp.com/asx/amh/amcil,"	354805000",1.155,0.01,0.87,Financials
ASX:NGI,"Navigator Global Investments (ASX:NGI)",https://www.listcorp.com/asx/ngi/navigator-global-investments,"	353538000",1.4925,-0.01,-0.5,Financials
ASX:EZL,"Euroz Hartleys Group Limited (ASX:EZL)",https://www.listcorp.com/asx/ezl/euroz-hartleys-group-limited,"	352175000",1.78,-0.00,-0.28,Financials
ASX:BSE,"Base Resources Ltd (ASX:BSE)",https://www.listcorp.com/asx/bse/base-resources,"	347514000",0.285,-0.01,-3.39,Materials
ASX:CWP,"Cedar Woods Properties (ASX:CWP)",https://www.listcorp.com/asx/cwp/cedar-woods-properties,"	346580000",4.23,0.01,0.24,"Real Estate"
ASX:HLO,"Helloworld Travel Limited (ASX:HLO)",https://www.listcorp.com/asx/hlo/helloworld-travel-limited,"	345712000",2.2,-0.03,-1.35,"Consumer Discretionary"
ASX:MAH,"Macmahon Holdings (ASX:MAH)",https://www.listcorp.com/asx/mah/macmahon-holdings,"	344798000",0.16,0.00,0,Materials
ASX:TRJ,"Trajan Group Holdings Limited (ASX:TRJ)",https://www.listcorp.com/asx/trj/trajan-group-holdings-limited,"	344625000",2.55,-0.01,-0.39,"Health Care"
ASX:NTO,"Nitro Software Limited (ASX:NTO)",https://www.listcorp.com/asx/nto/nitro-software-limited,"	341380000",1.425,0.03,1.79,"Information Technology"
ASX:DDH,"DDH1 Limited (ASX:DDH)",https://www.listcorp.com/asx/ddh/ddh1-limited,"	337140000",0.79,0.00,0,Materials
ASX:CDP,"Carindale Property Trust (ASX:CDP)",https://www.listcorp.com/asx/cdp/carindale-property-trust,"	337096000",4.64,0.00,0,"Real Estate"
ASX:FUEL,"BetaShares Global Energy Companies ETF - Currency Hedged (ASX:FUEL)",https://www.listcorp.com/asx/fuel/betashares-global-energy-companies-etf-currency-hedged,"	335913000",6.61,0.01,0.15,Financials
ASX:CAJ,"Capitol Health Limited (ASX:CAJ)",https://www.listcorp.com/asx/caj/capitol-health-limited,"	333510000",0.325,0.00,1.56,"Health Care"
ASX:ECF,"Elanor Commercial Property Fund (ASX:ECF)",https://www.listcorp.com/asx/ecf/elanor-commercial-property-fund,"	332384000",1.05,0.00,0,"Real Estate"
ASX:SRV,"Servcorp (ASX:SRV)",https://www.listcorp.com/asx/srv/servcorp,"	330149000",3.48,0.07,2.05,"Real Estate"
